名稱	閃電種類	時間	經度	緯度
雲間閃電 160-2022-08-06 16:03	雲間	2022-08-06 16	120.601	23.029
對地閃電 179-2022-08-06 16:03	對地	2022-08-06 16	120.515	22.904
對地閃電 180-2022-08-06 16:03	對地	2022-08-06 16	120.516	22.907
雲間閃電 161-2022-08-06 16:03	雲間	2022-08-06 16	120.506	22.957
雲間閃電 162-2022-08-06 16:03	雲間	2022-08-06 16	120.433	23.277
雲間閃電 163-2022-08-06 16:03	雲間	2022-08-06 16	120.441	23.287
對地閃電 181-2022-08-06 16:03	對地	2022-08-06 16	120.436	23.275
對地閃電 182-2022-08-06 16:03	對地	2022-08-06 16	120.533	22.975
雲間閃電 164-2022-08-06 16:03	雲間	2022-08-06 16	120.533	22.975
對地閃電 183-2022-08-06 16:03	對地	2022-08-06 16	120.491	23.163
